Author,Date,Title,Journal,Journal ID,Volume,Page Start,Page End,Keword,Keword2,Reprint,LookupNumber,PDF
"Allen, R.K.",1984.,A new classification of the subfamily Ephemerellinae and the description of anew genus.,,323,60,245,247,"Ephemeroptera, Ephemerellidae, systematics",,0,138,0
"Allen, R.K.",1977.,A new species of ^Tricorythodes^ with notes (Ephemeroptera: Tricorythidae).,,214,50,431,435,"Ephemeroptera, Tricorythidae, Tricorythodes, new species, taxonomy, systematics",,0,184,1
"Allen, R.K.",1974.,"^Neochoroterpes^, a new subgenus of ^Choroterpes^ Eaton from North America (Ephemeroptera: Leptophlebiidae).",,116,106,161,168,"Leptophlebiidae, Choroterpes, Neochoroterpes, Choroterpes mexicanus, Choroterpes crocatus, Choroterpes kossi",,0,232,1
"Allen, R.K.",1966.,New species of ^Heptagenia^ from Western North America (Ephemeroptera: Heptageniidae).,,116,98,80,82,"Heptageniidae, Heptagenia, new species",,0,263,1
"Allen, R.K.",1959.,A new species of ^Ephemerella^ from Oregon (Ephemeroptera: Ephemerellidae).,,214,32,59,60,"Ephemerellidae, Ephemerella edmundsi, Oregon",,1,446,1
"Allen, R.K.",1973.,New species of ^Leptohyphes^ Eaton.,,323,49,363,372,"Leptohyphidae, Leptohyphes, new species",,1,726,0
"Allen, R.K.",1975.,^Ephemerella^ (^Cincticostella^): A revision of the nymphal stage.,,323,51,16,22,"Ephemerellidae, Cincticostella",,1,728,0
"Allen, R.K.",1966,"^Haplohyphes^, a new genus of Leptohyphinae (Ephemeroptera: Tricorythidae)",,214,39,565,568,"Leptohyphidae, Haplohyphes, Peru",,0,839,0
"Allen, R.K.",1968.,New species and records of ^Ephemerella^ (^Ephemerella^) in Western North America.,,214,41,557,567,Ephemerella,,1,1013,0
"Allen, R.K. and C.M. Murvosh.",1987,Mayflies (Ephemeroptera: Tricorythidae) of the Southwestern United States and Northern Mexico.,,15,80,35,40,"Ephemeroptera, Tricorythidae, systematics, keys,",,0,47,1
"Allen, R.K. and C.M. Murvosh.",1987.,"New Baetidae from the southwestern United States and Northern Mexico (Ephemeroptera, Insecta), with notes.",,116,119,1095,1099,"Ephemeroptera, Baetidae, biogeography, distributions, Baetis, Baetodes, Dactylobaetis, Mexico",,1,195,0
"Allen, R.K. and C.M. Murvosh.",1987.,Leptophlebiidae of the Southwestern United States and Northwestern Mexico (Insecta: Ephemeroptera).,,609,47,283,286,"Ephemeroptera, Leptophlebiidae, Choroterpes, Paraleptophlebiidae, Thraulodes, Traverella, distribution, new records, Mexico.",,0,201,1
"Allen, R.K. and C.M. Murvosh.",1983.,Taxonomy and zoogeography of the mayflies (Ephemeroptera: Insecta) of Baja California.,,15,,,,"Ephemeroptera, Baetidae, Baetis, caelestis, byblis, Callibaetis, Incertae, Dactylobaetis, navis, Iron, Heptageniidae, Leptophlebiidae, Choroterpes, Thraulodes, Serratella, Drunella, Tricorythodes, Caenis, bajaensis, Mexico",,1,316,0
"Allen, R.K. and C.M. Murvosh.",1991.,A biogeographically based assessment of the potential mayfly fauna of Nevada.,,323,67,206,215,"Ephemeroptera, Nevada, biogeography,",,1,317,1
"Allen, R.K. and E.S.M. Chao.",1972,A new species of ^Baetodes^ from Arizona (Ephemeroptera: Baetidae).,,94,71,1?,52?,"Ephemeroptera, Baetidae, Baetodes, new species",,0,22,1
"Allen, R.K. and E.S.M. Chao.",1978.,Mayflies of the Southwest: New species and records of Heptageniidae.,,323,54,311,315,"Heptageniidae, Rhithrogena, Arizona, New Mexico, new species",,1,261,1
"Allen, R.K. and E.S.M. Chao.",1981.,Mayflies of the southwest: New records and notes of Siphlonuridae (Ephemeroptera).,,323,57,449,456,"Siphlonuridae, Ameletus, Siphlonurus, new records, Arizona, New Mexico",,1,730,0
"Allen, R.K. and E.S.M. Chao.",1978.,Mayflies of the Southwest: New species and records of ^Dactylobaetis^.,,323,54,300,304,"Dactylobaetis, new species, new records, navis",,1,731,0
"Allen, R.K. and G.F. Edmunds, Jr.",1959,A revision of the genus ^Ephemerella^ (Ephemeroptera: Ephemerellidae) I. The subgenus ^Timpanoga^.,,116,91,51,58,"Ephemeroptera, Ephemerellidae, Timpanoga, taxonomy, hecuba",,0,172,1
"Allen, R.K. and G.F. Edmunds, Jr.",1961,A revision of the Genus ^Ephemerella^ (Ephemeroptera: Ephemerellidae) II. The subgenus ^Caudatella^,,15,54,603,612,"Ephemeroptera, Ephemerellidae, Caudatella, taxonomy",,0,173,1
"Allen, R.K. and G.F. Edmunds, Jr.",1961,A revision of the genus ^Ephemerella^ (Ephemeroptera: Ephemerellidae) III. The subgenus ^Attenuatella^.,,214,34,161,173,"Ephemeroptera, Ephemerellidae, Attenuatella, taxonomy",,0,175,1
"Allen, R.K. and G.F. Edmunds, Jr.",1962,A revision of the geus ^Ephemerella^ (Ephemeroptera: Ephemerellidae) IV. The subgenus ^Dannella^.,,214,35,333,338,"Ephemeroptera, Ephemerellidae, Dannella, taxonomy",,0,176,1
"Allen, R.K. and G.F. Edmunds, Jr.",1962,A revision of the genus ^Ephemerella^ (Ephemeroptera: Ephemerellidae) V. The subgenus ^Drunella^ in North America.,,252,3,147,179,"Ephemeroptera, Ephemerellidae, Drunella, taxonomy",,0,178,1
"Allen, R.K. and G.F. Edmunds, Jr.",1963.,A revision of the genus ^Ephemerella^ (Ephemeroptera: Ephemerellidae) VI. The subgenus ^Serratella^ in North America.,,15,56,583,600,"Ephemeroptera, Ephemerellidae, Serratella, taxonomy",,0,179,1
"Allen, R.K. and G.F. Edmunds, Jr.",1963,A revision of the genus ^Ephemerella^ (Ephemeroptera: Ephemerellidae) VII. The subgenus ^Eurylophella^.,,116,95,597,623,"Ephemeroptera, Ephemerellidae, Eurylophella, taxonomy",,0,180,1
"Allen, R.K. and G.F. Edmunds, Jr.",1965,"A revision of the genus ^Ephemerella^ (Ephemeroptera, Ephemerellidae) VIII. The subgenus ^Ephemerella^ in North America.",,252,4,243,282,"Ephemeroptera, Ephemerellidae, Ephemerella, taxonomy",,0,181,1
